MUTUAL NON-DISCLOSURE AGREEMENT	0	x
This Mutual Non-Disclosure Agreement (“Agreement”) is entered into by and between	0	x
Teqball Holding S.à r.l.	0	x
44 Avenue J. F. Kennedy, L-1855 Luxembourg, Grand Duchy of Luxembourg	0	x
Luxembourg Trade and Companies Register	0	x
N° B 191.050,	0	x
acting on its own behalf and/or on behalf of its Group Companies, and	0	x
You  (the  person  accessing  this  document  and/or  any  of  Teqball  Holding’s  Confidential	0	x
Information),	0	x
hereinafter referred to jointly as the “Parties”, and individually as a “Party”.	0	x
1.  Purpose	0	d
The  Parties  are  contemplating,  negotiating,  executing  or  have  already  entered  into  one  or  more	0	c
agreements  relating  to  testing  computer  software  between  the  Parties,  which  may  lead  to  the	0	c
exchange  of  information  that  they  wish  to  protect  and  whose  use  they  wish  to  limit  through  this	0	c
Agreement (the “Purpose”).	11	s
2.  Definitions	0	d
1.1.  “Authorized  Persons”  means  a  person  or  entity  that  a  Party  or  a  Party’s  Group  Company	0	c
authorizes  to  access  the  Confidential  Information  for  the  Purpose,  and  who  is  bound  by	0	c
confidentiality terms at least as protective of the Confidential Information as this Agreement.	0	s
1.2.  “Confidential  Information”  means  information related  to a Party, its Group Companies, its	0	c
Authorized Persons, this Agreement or any agreement to which this Agreement is annexed or	0	c
upon  which  this  Agreement’s  Purpose  is  based,  that  a  Party  receives  or  accesses,  except	0	c
information that (i) is or falls into the public domain without fault of the Receiving Party, (ii) the	0	c
Receiving Party can prove was in its possession without any obligation of confidentiality prior	0	c
to receipt from the Disclosing Party, (iii) is independently developed by the Receiving Party, or	0	c
(iv) is obtained by the Receiving Party from third parties without any obligation of confidentiality	0	c
to the Disclosing Party.	0	s
1.3.  “Disclosing Party” means the Party to which Confidential Information accessed or disclosed	0	c
relates.	0	s
1.4.  “Effective Date” means the date of execution of this Agreement by you.	0	s
1.5.  “Expiration Date” means 1 year from the Effective Date.	0	s
1.6.  “Group Companies” means a Party’s ultimate holding company and any company that holding	0	c
company owns (through 50% or more of the issued share capital) or controls (through the ability	0	c
to appoint 50% or more of the officers).	0	b
With respect to Teqball Holding, Group Companies shall also include International Federation	0	c
of Teqball (Fédération Internationale de Teqball, an association registered in Switzerland at the	0	c
Registre du Commerce du Canton de Vaud under n° CHE-327.306.031, having its registered	0	c
address at 7 chemin de Beau-Rivage, c/o Ametis Conseils SA, 1006 Lausanne, Switzerland)	0	c
and its Group Companies, and I. Budapest TEQBALL Sportegyesület (an association registered	0	c
in Hungary at the Fővárosi Törvényszék under n° 01-02-0015920, having its registered address	0	c
at 1042 Budapest, József Attila utca 18. fszt. 23.) and its Group Companies.	0	s
1.7.  “Receiving Party” means the Party receiving or accessing Confidential Information.	16	s
2.  Contracting Principles	0	d
2.1.  No Warranties. All Confidential Information furnished under this Agreement is provided AS IS.	0	c
Neither Party makes any warranties, express or implied, for example, regarding the accuracy,	0	c
completeness,  merchantability,  fitness  for  use,  or  non-infringing  nature  of  its  Confidential	0	c
Information.	0	s
2.2.  Governing Law and Venue. All aspects of this Agreement, all matters arising from it, including	0	c
disputes or lawsuits, and the relationship of the Parties relating to this Agreement, are governed	0	c
by the laws of Luxembourg, and its courts shall have exclusive jurisdiction thereover.	0	b
Nevertheless,  each  Party  recognizes  that  a  breach  of  confidentiality  may  cause  irreparable	0	c
harm to the other and that actual damages may be difficult to ascertain or inadequate in such	0	c
cases. Each Party  shall thus  have the right to enforce this Agreement by injunction, specific	0	c
performance,  or  other  equitable  relief,  without  a  requirement  to  prove  actual  damages  and	0	c
without prejudice to any other rights and remedies that they may have otherwise.	0	s
2.3.  Entire Agreement. This Agreement constitutes the entire agreement between the Parties with	0	c
respect to the Purpose and supersedes any prior understanding or agreements thereon.	43	s
3.  Non-disclosure and Non-use Obligations	0	d
3.1.  Ownership of Confidential Information. All  Confidential  Information of a Party is and shall	0	c
remain the property of that Party. Nothing contained in this Agreement shall be construed as	0	c
granting or conferring any rights to any Confidential Information of a Disclosing Party, or to any	0	c
intellectual property contained therein.	0	s
3.2.  Exchange  of  Confidential  Information. Confidential  Information may be  exchanged by the	0	c
Parties from the Effective Date until the Expiration Date, or, if the agreement(s)  underpinning	0	c
the Purpose have been entered into before the Expiration Date, then Confidential Information	0	c
may be exchanged until the obligations in such agreement(s) are still in effect.	0	s
3.3.  Authorized Use. Confidential Information shall be used exclusively for (i) discussions and/or	0	c
negotiations, (ii) performance and/or enforcement, (iii) termination and/or disputes, of or relating	0	c
to the Purpose, and shall not be used for any other purpose.	0	s
3.4.  Non-disclosure.  Each  Party  shall  hold  the  other  Party’s  Confidential  Information  in  strictest	0	c
confidence and shall not disclose the other Party’s Confidential Information to any third party,	0	c
except to the Receiving Party’s own Authorized Persons on a need-to-know basis.	0	s
3.5.  Information Security. Each Party shall secure the other Party’s Confidential Information and	0	c
protect it from access by anyone other than  its Authorized Persons,  in  the  same way that  it	0	c
protects its own Confidential Information, but in all cases using a professional degree of care.	0	b
The Receiving Party’s obligations relating to securing and protecting Confidential Information	0	c
shall remain in effect for the later of either (i) 5 (five) years after the last date defined in clause	0	c
3.2  or  (ii)  until  the  Confidential  Information  may  reasonably  be  considered  as  no  longer	0	c
confidential.	0	s
3.6.  Breach of Confidentiality. The Receiving Party shall immediately notify the Disclosing Party	0	c
upon learning of any actual or potential access of its Confidential Information by unauthorized	0	c
third  parties.  If  (i)  an  Authorized  Person’s  or  former  Authorized  Person’s  action  or  omission	0	c
would be considered a breach of this Agreement if they had been a party thereto, and (ii) the	0	c
Receiving Party has coercive power over them at the time of such action or omission, then the	0	c
Receiving Party shall be responsible for such action or omission as if it were its own breach.	0	c
3.7.  Required Disclosures. Nothing in this Agreement shall prohibit either Party from disclosing a	0	c
part of the other Party’s Confidential Information if legally required to do so by law or regulation	0	c
(including  those  governing  capital  markets),  judicial  or  governmental  order,  provided  that  it	0	c
gives, to the extent and as soon as  legally permissible, prior notice of such disclosure to  the	0	c
other Party.	0	s
3.8.  Return of Confidential  Information. Immediately  upon  the Disclosing Party’s request or by	0	c
the last date defined in clause 3.2, the Receiving Party shall return/or destroy, at the Disclosing	0	c
Party’s  discretion  and  expense,  all  the  Disclosing  Party’s  Confidential  Information  in  its	0	c
possession,  irrespective of the media, and certify execution  of this obligation in writing.  This	0	c
obligation shall not apply to (i) copies retained in compliance with a Party’s legal or regulatory	0	c
obligations or (ii) copies made as part of preexisting data back-up processes, if such copies are	0	c
not  accessible  to  the  Receiving  Party’s  staff  or  Authorized  Persons  in  the  normal  course  of	0	c
business.	58	s
4.  Proof of Execution	0	d
The Parties agree that proof of execution of this Agreement shall be constituted by the digital record of	0	c
Your (click) acceptance of its terms.	-1	s
