別紙 1(ISMS-L05-01_秘密保持契約書_第 1.0)	0	e
秘密保持契約書(案)	0	x
公益財団法人日本産業廃棄物処理振興センター(以下「甲」という)と、○○株式会社(以下「乙」という)	0	c
とは、甲乙間の取引の検討、実施(以下「本件業務」という)に関連して、それぞれが開示を受ける情報等につ	0	c
いて、その秘密を保持することを目的として、次のとおり契約(以下「本契約」という)を締結する。	0	s
本契約において、情報等を開示する者を「開示当事者」といい、開示を受ける者を「受領当事者」という。	0	s
第1条  (目的)	0	d
  本契約は、甲が本件業務を乙に委託するにあたり、甲乙双方が取り扱うことを予定する第2条で定義する秘密	0	c
情報の適切な取扱いと保護を目的とする。	0	s
2.前項の本件業務の委託契約において本契約と異なる事項を定めたときは、本契約が当該委託契約に優先する	0	c
ものとする。	7	s
第2条  (秘密情報)	0	d
  本契約において「秘密情報」とは、本件業務に関連して開示当事者が受領当事者に開示した経理情報、総務・	0	c
人事情報、顧客・取引先情報、営業情報、技術情報、ノウハウ、資料またはサンプルを含む製品であり(本件業	0	c
務に基づく仕様書・設計書その他の成果物を含む)、その開示または提供時に秘密情報であると明示したものと	0	c
する。なお、口頭、書面、磁気ディスク等その情報の形態を問わない。	12	s
第3条  (適用除外)	0	d
  前条の秘密情報には、次の各号に該当するものは含まれない。	0	d
  (1)受領の時点で既に公知のもの、または受領した後に本契約に違反することなく公知となったもの	0	s
  (2)受領当事者が本契約に違反することなく第三者から正当に入手したことを立証し得るもの	0	s
  (3)受領の時点で既に受領当事者が保有していたことを立証し得るもの	0	s
  (4)受領当事者が秘密情報によらずして独自に開発したことを立証し得るもの	17	s
第4条  (個人情報)	0	d
  本契約において「個人情報」とは、本件業務を通じて甲から乙に対して開示される一切の情報のうち、「日本	0	c
工業規格 JIS  Q  15001(個人情報保護マネジメントシステムー要求事項)」で定義された個人情報)をいい、本	0	c
件業務の遂行過程で開示当事者が受領当事者に開示した有形無形の一切の個人情報であり、本件業務に関連して、	0	c
受領当事者が開示当事者から開示された個人情報をいう。	0	s
2.「個人情報の本人」とは、個人情報により識別される特定の個人をいう。	23	s
第5条  (秘密保持義務)	0	d
受領当事者は、秘密情報および個人情報(あわせて、以下「秘密情報等」という)を秘密として保持・管理し、	0	c
事前に開示当事者の書面による承諾を得ることなく、態様の如何を問わず、秘密情報等を第三者に提供、販売、	0	c
貸与、開示、使用許諾、漏洩等してはならない。	0	s
2.受領当事者は、秘密情報等への不正なアクセスまたは紛失、改竄、漏洩等の危険に対して、技術面、組織面	0	c
で合理的な安全対策を講じなければならない。	0	s
3.受領当事者は、秘密情報等を、安全対策を講じた環境において、業務上必要のある役員または従業員等のみ	0	c
に取り扱わせ、当該役員または従業員等に本契約の内容を遵守させる。	0	s
4.受領当事者は、役員また従業員等による秘密保持義務等の違反について開示当事者に対して責任を負う。	0	s
5.受領当事者は法令による要求または裁判所もしくは政府機関(下部機構を含む)の合法的な命令、要求に対	0	c
応して開示する場合、開示当事者に対し事前に(緊急やむをえない場合には開示後すみやかに)通知しなければ	0	c
ならない。	29	s
第6条  (管理)	0	d
甲及び乙は、本契約の趣旨に則り、秘密情報等を善良なる管理者の注意義務を持って管理する。	0	s
2.受領当事者は、開示当事者から開示された秘密情報等を厳重に管理の上、関係者のみの取扱いとし、第三者	0	c
に貸与、譲渡等してはならない。また、開示当事者からの返還もしくは廃棄の要請がある場合、それに従う。	0	s
3.受領当事者は、開示当事者から開示された秘密情報を本件業務の目的にのみ使用するものとし、事前に開示	0	c
当事者の書面による承諾を得ることなく他のいかなる目的にも使用しない。	41	s
第7条(報告・監査)	0	d
開示当事者は、秘密情報等の管理状況について受領当事者に対して報告を求めることができ、受領当事者はこ	0	c
れに応じる。また、受領当事者は、開示当事者が秘密情報等の管理状況を監査する必要が生じた場合は、合理的	0	c
な範囲でこれに協力しなければならない。	0	s
2.監査等の結果、受領当事者の秘密情報等の管理体制等が不十分であると開示当事者が判断した場合には、開	0	c
示当事者は受領当事者に対して改善勧告を行うことができる。	47	s
第8条(秘密情報等の返却)	0	d
  受領当事者は、本件業務が終了した場合またはそれ以前でも開示当事者が文書により要求する場合には、開示	0	c
当事者の指示に従い、提供された秘密情報等を返却、破棄もしくは消去し、また、その複製物も破棄もしくは消	0	c
去する。	53	s
第9条(知的財産権)	0	d
  本契約に基づく秘密情報の開示は、秘密情報を所有する開示当事者または第三者の産業財産権、著作権、ノウ	0	c
ハウその他の知的財産権について、受領当事者に対する移転または実施権の設定を行うものではない。	57	s
第10条(再委託)	0	d
受領当事者は、本件業務を第三者に再委託する場合は、事前に開示当事者に書面で通知し、承諾を得なければ	0	c
ならない。	0	s
2.受領当事者は、前項に基づき本件業務を第三者に再委託をする場合、自己の責任において、本契約に基づき	0	c
受領当事者が開示当事者に対して負う義務と同等の義務を当該第三者に課さなければならない。	0	s
3.受領当事者は、再委託先の監督義務を全面的に負い、開示当事者の求めに応じ再委託先の秘密情報等に関す	0	c
る管理状況等を報告しなければならない。	0	s
4.受領当事者は本件業務について、受領当事者の委託先である第三者が他の第三者へ再委託することを認めて	0	c
はならない。	60	s
第11条(事故発生時の対応)	0	d
受領当事者は、秘密情報等の漏洩その他の事故が発生した場合、ただちに開示当事者に報告するとともに、開	0	c
示当事者の指示に従い、当該事故による損害を最小限に止めるための適切な処置を講じなければならない。	0	c
2.受領当事者は前項の事故が発生した場合、開示当事者の求めに応じ、原因の究明に協力する。	69	s
第12条(損害賠償)	0	d
  受領当事者は、受領当事者または第10条に基づいて再委託した第三者による秘密情報等の漏洩その他に起因	0	c
して開示当事者または個人情報の本人に損害を与えた場合、開示当事者または個人情報の本人が被った損害を賠	0	c
償する責めを負う。	73	s
第13条  (本契約失効後の取扱)	0	d
  本契約がその効力を失った後も本契約第1条、第5条、第6条、第7条、第9条、第11条、第12条、第1	0	c
4条の規定は、引き続き有効に存続する。	77	s
第14条  (管轄裁判所)	0	d
  本契約に関する訴訟については、東京地方裁判所を第一審の専属的合意管轄裁判所とする。	80	s
第15条  (協議事項)	0	d
  本契約に定めのない事項または疑義のある事項については、甲乙誠意をもって協議し解決する。	82	s
第16条  (有効期間)	0	d
  本契約の有効期間は、○○○○年○月○日から○○○○年○月○日までとする。ただし、期間満了の1ヶ	0	c
月前までに甲乙いずれか一方から相手方に対し何らの申し出がないときは、本契約は更に1年間継続するものと	0	c
し、その後も同様とする。	-1	s
  本契約の成立を証するため、本契約書2通を作成し、甲乙記名捺印のうえ、各1通を保有する。	0	s
        ○○○○年○月○日	0	x
甲    東京都千代田区二番町3番地  麹町スクエア  7階	0	x
公益財団法人  日本産業廃棄物処理振興センター	0	x
理事長        関  荘一郎	0	x
乙    ○○○○	0	x
○○○○	0	x
○○○      ○○  ○○	0	x
